sample_size,feature_set,model,fold_number,accuracy,positive_accuracy,negative_accuracy,gene_accuracy
93299,huffman_negative,neural,1,0.6602641056422569,0.6890614990390775,0.6270764119601329,0.4954460875526393
93299,huffman_negative,random_forest,1,0.697821985937232,0.7699391415759129,0.6147102251753415,0.4977475271765743
93299,huffman_negative,average_ensemble,1,0.3715914937403533,0.694026265214606,0.0,0.4956419547546763
93299,huffman_negative,nn_0_fallback,1,0.6869319156233922,0.7865951313260731,0.5720745662606128,0.47497796493977085
93299,huffman_negative,nn_1_fallback,1,0.674969987995198,0.5850416399743754,0.778608342561831,0.5980805014200372
93299,huffman_negative,neural,2,0.6585062596467158,0.6844245952627801,0.6283727399165507,0.5015669376162961
93299,huffman_negative,random_forest,2,0.6922054536100154,0.7644150251216205,0.6082522021325916,0.4976006267750465
93299,huffman_negative,average_ensemble,2,0.3702195163779798,0.6886514076082623,0.0,0.5022035060229164
93299,huffman_negative,nn_0_fallback,2,0.6863316755273537,0.7866656033176489,0.5696801112656468,0.47747527176574284
93299,huffman_negative,nn_1_fallback,2,0.6717115417595609,0.5805088125049844,0.7777468706536856,0.5981294682205465
